id,key,value,type
14284855,upload_uuid,bulk_upload.pl-fa98df75-5974-4c49-9081-f3ca4b3c7383,tiger
14284932,power,line,regular
14284932,cfcc,C20,tiger
14284932,tlid,201853301:201853303:201853305:201853289:201853291:201853293:201853295:201853297:201853299,tiger
14284932,county,"Clark, NV",tiger
14284932,source,tiger_import_dch_v0.6_20070813,tiger
14284932,upload_uuid,bulk_upload.pl-fa98df75-5974-4c49-9081-f3ca4b3c7383,tiger
14285064,highway,track,regular
14285064,cfcc,A41,tiger
14285064,tlid,201845197,tiger
14285064,county,"Clark, NV",tiger
14285064,source,tiger_import_dch_v0.6_20070813,tiger
14285064,reviewed,no,tiger
14285064,separated,no,tiger
14285064,upload_uuid,bulk_upload.pl-fa98df75-5974-4c49-9081-f3ca4b3c7383,tiger
14285137,highway,residential,regular
14285137,cfcc,A74,tiger
14285137,county,"Clark, NV",tiger
14285137,reviewed,no,tiger
14285199,access,customers,regular
14285199,highway,service,regular
14285199,cfcc,A41,tiger
14285199,county,"Clark, NV",tiger
14285199,reviewed,no,tiger
14285457,highway,tertiary,regular
14285457,cfcc,A41,tiger
14285457,county,"Clark, NV",tiger
14285457,reviewed,no,tiger
14285585,highway,residential,regular
14285585,cfcc,A41,tiger
14285585,tlid,201944303,tiger
14285585,county,"Clark, NV",tiger
14285585,source,tiger_import_dch_v0.6_20070813,tiger
14285585,reviewed,no,tiger
14285585,separated,no,tiger
14285585,upload_uuid,bulk_upload.pl-fa98df75-5974-4c49-9081-f3ca4b3c7383,tiger
14285624,name,Anvil Ring Road,regular
14285624,access,private,regular
14285624,highway,track,regular
14285624,cfcc,A74,tiger
14285624,county,"Clark, NV",tiger
14285624,reviewed,no,tiger
14285811,highway,track,regular
14285811,cfcc,A41,tiger
14285811,county,"Clark, NV",tiger
14285811,reviewed,no,tiger
14285943,highway,residential,regular
14285943,cfcc,A41,tiger
14285943,tlid,201964129,tiger
14285943,county,"Clark, NV",tiger
14285943,source,tiger_import_dch_v0.6_20070813,tiger
14285943,reviewed,no,tiger
14285943,separated,no,tiger
14285943,upload_uuid,bulk_upload.pl-fa98df75-5974-4c49-9081-f3ca4b3c7383,tiger
14286005,highway,service,regular
14286005,cfcc,A73,tiger
14286005,tlid,201963467:201963478,tiger
14286005,county,"Clark, NV",tiger
14286005,source,tiger_import_dch_v0.6_20070813,tiger
14286005,reviewed,no,tiger
14286005,upload_uuid,bulk_upload.pl-fa98df75-5974-4c49-9081-f3ca4b3c7383,tiger
14286136,oneway,yes,regular
14286136,highway,residential,regular
14286136,cfcc,A41,tiger
14286136,county,"Clark, NV",tiger
14286238,access,private,regular
14286238,highway,service,regular
14286238,cfcc,A74,tiger
14286238,tlid,201966397:201966398,tiger
14286238,county,"Clark, NV",tiger
14286238,source,tiger_import_dch_v0.6_20070813,tiger
14286238,reviewed,no,tiger
14286238,upload_uuid,bulk_upload.pl-fa98df75-5974-4c49-9081-f3ca4b3c7383,tiger
14286352,highway,track,regular
14286352,cfcc,A41,tiger
14286352,county,"Clark, NV",tiger
14286352,reviewed,no,tiger
14286391,highway,residential,regular
14286391,cfcc,A41,tiger
14286391,county,"Clark, NV",tiger
14286391,reviewed,no,tiger
14286460,highway,residential,regular
14286460,cfcc,A41,tiger
14286460,tlid,201861586,tiger
14286460,county,"Clark, NV",tiger
14286460,source,tiger_import_dch_v0.6_20070813,tiger
14286460,reviewed,no,tiger
14286460,separated,no,tiger
14286460,upload_uuid,bulk_upload.pl-fa98df75-5974-4c49-9081-f3ca4b3c7383,tiger
14286500,highway,residential,regular
14286500,cfcc,A41,tiger
14286500,county,"Clark, NV",tiger
14286500,reviewed,no,tiger
14286670,highway,residential,regular
14286670,cfcc,A41,tiger
14286670,tlid,201974927,tiger
14286670,county,"Clark, NV",tiger
14286670,source,tiger_import_dch_v0.6_20070813,tiger
14286670,reviewed,no,tiger
14286670,separated,no,tiger
14286670,upload_uuid,bulk_upload.pl-fa98df75-5974-4c49-9081-f3ca4b3c7383,tiger
14286752,highway,residential,regular
14286752,cfcc,A41,tiger
14286752,tlid,201975649,tiger
14286752,county,"Clark, NV",tiger
14286752,source,tiger_import_dch_v0.6_20070813,tiger
14286752,reviewed,no,tiger
14286752,separated,no,tiger
14286752,upload_uuid,bulk_upload.pl-fa98df75-5974-4c49-9081-f3ca4b3c7383,tiger
14286791,highway,track,regular
14286791,cfcc,A41,tiger
14286791,tlid,201849949,tiger
14286791,county,"Clark, NV",tiger
14286791,source,tiger_import_dch_v0.6_20070813,tiger
14286791,reviewed,no,tiger
14286791,separated,no,tiger
14286791,upload_uuid,bulk_upload.pl-fa98df75-5974-4c49-9081-f3ca4b3c7383,tiger
14286842,access,customers,regular
14286842,highway,service,regular
14286842,cfcc,A41,tiger
14286842,county,"Clark, NV",tiger
14286842,reviewed,no,tiger
14286943,highway,residential,regular
14286943,cfcc,A41,tiger
14286943,tlid,201975850,tiger
14286943,county,"Clark, NV",tiger
14286943,source,tiger_import_dch_v0.6_20070813,tiger
14286943,reviewed,no,tiger
14286943,separated,no,tiger
14286943,upload_uuid,bulk_upload.pl-fa98df75-5974-4c49-9081-f3ca4b3c7383,tiger
14286969,highway,service,regular
14286969,cfcc,A73,tiger
14286969,tlid,201963470,tiger
14286969,county,"Clark, NV",tiger
14286969,source,tiger_import_dch_v0.6_20070813,tiger
14286969,reviewed,no,tiger
14286969,upload_uuid,bulk_upload.pl-fa98df75-5974-4c49-9081-f3ca4b3c7383,tiger
14286987,oneway,yes,regular
14286987,bicycle,no,regular
14286987,highway,motorway_link,regular
14286987,junction,spui,regular
14286987,cfcc,A63,tiger
14286987,county,"Clark, NV",tiger
14286987,reviewed,no,tiger
14287114,bicycle,no,regular
14287114,highway,motorway_link,regular
14287114,oneway,yes,regular
14287114,cfcc,A63,tiger
14287114,county,"Clark, NV",tiger
14287114,reviewed,no,tiger
14287307,oneway,yes,regular
14287307,bicycle,yes,regular
14287307,highway,motorway_link,regular
14287307,cfcc,A63,tiger
14287307,destination,Ute,regular
14287307,county,"Clark, NV",tiger
14287364,highway,residential,regular
14287364,cfcc,A41,tiger
14287364,tlid,201877838,tiger
14287364,county,"Clark, NV",tiger
14287364,source,tiger_import_dch_v0.6_20070813,tiger
14287364,reviewed,no,tiger
14287364,separated,no,tiger
14287364,upload_uuid,bulk_upload.pl-fa98df75-5974-4c49-9081-f3ca4b3c7383,tiger
14287437,oneway,yes,regular
14287437,source,Yahoo image; TIGER,regular
14287437,bicycle,no,regular
14287437,highway,motorway_link,regular
14287554,name,El Capitan Way,regular
14287554,highway,tertiary,regular
14287554,cfcc,A74,tiger
14287554,county,"Clark, NV",tiger
14287554,reviewed,no,tiger
14287635,highway,track,regular
14287635,cfcc,A51,tiger
14287635,tlid,201836853:201836775,tiger
14287635,county,"Clark, NV",tiger
14287635,source,tiger_import_dch_v0.6_20070813,tiger
14287635,reviewed,no,tiger
14287635,separated,no,tiger
14287635,upload_uuid,bulk_upload.pl-fa98df75-5974-4c49-9081-f3ca4b3c7383,tiger
14287804,highway,service,regular
14287804,cfcc,A41,tiger
14287804,county,"Clark, NV",tiger
14287804,reviewed,no,tiger
14287846,highway,track,regular
14287846,cfcc,A41,tiger
14287846,tlid,201837579:201837581,tiger
14287846,county,"Clark, NV",tiger
14287846,source,tiger_import_dch_v0.6_20070813,tiger
14287846,reviewed,no,tiger
14287846,separated,no,tiger
14287846,upload_uuid,bulk_upload.pl-fa98df75-5974-4c49-9081-f3ca4b3c7383,tiger
14288039,leisure,slipway,regular
14288039,cfcc,A41,tiger
14288039,tlid,201850291:201850408,tiger
14288039,county,"Clark, NV",tiger
14288039,source,tiger_import_dch_v0.6_20070813,tiger
14288039,reviewed,no,tiger
14288039,separated,no,tiger
14288039,upload_uuid,bulk_upload.pl-fa98df75-5974-4c49-9081-f3ca4b3c7383,tiger
14288059,name,Paradise Road,regular
14288059,highway,tertiary,regular
14288059,cfcc,A41,tiger
14288059,county,"Clark, NV",tiger
14288059,reviewed,no,tiger
14288084,name,Olive Street,regular
14288084,name_1,East Olive Street,regular
14288084,highway,residential,regular
14288084,cfcc,A41,tiger
14288084,county,"Clark, NV",tiger
