id,key,value,type
137277312,highway,turning_circle,regular
137278325,highway,turning_circle,regular
137279613,highway,turning_circle,regular
137280103,highway,turning_circle,regular
137281532,highway,turning_circle,regular
137282082,highway,turning_circle,regular
137283013,highway,turning_circle,regular
137283353,highway,turning_circle,regular
137283576,highway,mini_roundabout,regular
137283605,highway,mini_roundabout,regular
137283771,highway,turning_circle,regular
137284644,highway,turning_circle,regular
137284743,source,Bing,regular
137284743,highway,turning_circle,regular
137284755,source,Bing,regular
137284755,highway,turning_circle,regular
137285250,source,Bing,regular
137285250,highway,turning_circle,regular
137286043,highway,turning_circle,regular
137286113,highway,traffic_signals,regular
137286113,crossing,traffic_signals,regular
137286970,highway,turning_circle,regular
137287589,highway,turning_circle,regular
137288273,source,Yahoo,regular
137288273,highway,turning_circle,regular
137288756,highway,turning_circle,regular
137288911,highway,turning_circle,regular
137289213,highway,turning_circle,regular
137289775,highway,turning_circle,regular
137289989,source,Bing,regular
137289989,highway,turning_circle,regular
137290497,highway,turning_circle,regular
137291163,highway,turning_circle,regular
137291513,source,Bing,regular
137291513,highway,turning_circle,regular
137293465,source,Bing,regular
137293465,highway,turning_circle,regular
137295121,highway,traffic_signals,regular
137295121,crossing,traffic_signals,regular
137296434,highway,turning_circle,regular
137296476,street,Citadel Circle,addr
137296476,housenumber,3600,addr
137296677,highway,turning_circle,regular
137296787,highway,turning_circle,regular
137296833,highway,turning_circle,regular
137297172,highway,turning_circle,regular
137297303,source,Bing,regular
137297303,highway,turning_circle,regular
137297471,highway,turning_circle,regular
137297734,source,Bing,regular
137297734,highway,turning_circle,regular
137299770,highway,turning_circle,regular
137299971,source,Bing,regular
137299971,highway,turning_circle,regular
137300311,source,Bing,regular
137300311,highway,turning_circle,regular
137300341,source,Bing,regular
137300341,highway,turning_circle,regular
137300532,highway,turning_circle,regular
137300571,source,bing,regular
137300571,highway,turning_circle,regular
137301816,highway,turning_circle,regular
137302618,highway,turning_circle,regular
137302834,highway,turning_circle,regular
137303322,highway,turning_circle,regular
137303375,highway,turning_circle,regular
137303468,source,Bing,regular
137303468,highway,turning_circle,regular
137303529,highway,turning_circle,regular
137304793,highway,turning_circle,regular
137304851,railway,level_crossing,regular
137305563,highway,turning_circle,regular
137306303,highway,turning_circle,regular
137308077,highway,turning_circle,regular
137308097,highway,turning_circle,regular
137308213,source,Yahoo,regular
137308213,highway,turning_circle,regular
137308257,highway,turning_circle,regular
137308612,highway,turning_circle,regular
137308929,highway,turning_circle,regular
137309189,highway,turning_circle,regular
137310022,highway,traffic_signals,regular
137310022,traffic_signals,signal,regular
137310286,highway,turning_circle,regular
137310801,source,bing,regular
137310801,highway,turning_circle,regular
137311156,source,Bing,regular
137311156,highway,turning_circle,regular
137311375,highway,traffic_signals,regular
137311730,source,bing,regular
137311730,highway,turning_circle,regular
